instance,stage,method,cost
22,4,source_once,5.774594833143055
22,4,endpoint_once,5.774594833143055
22,6,route,5.774594833143055
22,6,source_once,5.774594833143055
22,6,endpoint_once,5.774594833143055
22,8,route,5.774594833143055
22,8,source_once,5.774594833143055
22,8,endpoint_once,5.774594833143055
22,10,route,5.774594833143055
22,10,source_once,5.774594833143055
22,10,endpoint_once,5.774594833143055
22,15,route,5.774594833143055
22,15,source_once,5.774594833143055
22,15,endpoint_once,5.774594833143055
22,20,route,5.774594833143055
22,20,source_once,5.774594833143055
22,20,endpoint_once,5.774594833143055
22,30,route,5.774594833143055
22,30,source_once,5.774594833143055
22,30,endpoint_once,5.774594833143055
23,4,route,5.82524333987385
23,4,source_once,5.82524333987385
23,4,endpoint_once,5.82524333987385
23,6,route,5.82524333987385
23,6,source_once,5.82524333987385
23,6,endpoint_once,5.82524333987385
23,8,route,5.82524333987385
23,8,source_once,5.817626387812197
23,8,endpoint_once,5.817626387812197
23,10,route,5.82524333987385
23,10,source_once,5.817626387812197
23,10,endpoint_once,5.82524333987385
23,15,route,5.82524333987385
23,15,source_once,5.817626387812197
23,15,endpoint_once,5.82524333987385
23,20,route,5.82524333987385
23,20,source_once,5.817626387812197
23,20,endpoint_once,5.82524333987385
23,30,route,5.82524333987385
23,30,source_once,5.817626387812197
23,30,endpoint_once,5.82524333987385
24,4,route,5.784197822213173
24,4,source_once,5.784197822213173
24,4,endpoint_once,5.784197822213173
24,6,route,5.784197822213173
24,6,source_once,5.784197822213173
24,6,endpoint_once,5.784197822213173
24,8,route,5.784197822213173
24,8,source_once,5.784197822213173
24,8,endpoint_once,5.784197822213173
24,10,route,5.784197822213173
24,10,source_once,5.784197822213173
24,10,endpoint_once,5.784197822213173
24,15,route,5.784197822213173
24,15,source_once,5.784197822213173
24,15,endpoint_once,5.784197822213173
24,20,route,5.784197822213173
24,20,source_once,5.784197822213173
24,20,endpoint_once,5.784197822213173
24,30,route,5.784197822213173
24,30,source_once,5.784197822213173
24,30,endpoint_once,5.784197822213173
25,4,route,5.834139631129801
25,4,source_once,5.834139631129801
25,4,endpoint_once,5.834139631129801
25,6,route,5.834139631129801
25,6,source_once,5.834139631129801
25,6,endpoint_once,5.834139631129801
25,8,route,5.834139631129801
25,8,source_once,5.834139631129801
25,8,endpoint_once,5.834139631129801
25,10,route,5.834139631129801
25,10,source_once,5.834139631129801
25,10,endpoint_once,5.834139631129801
25,15,route,5.834139631129801
25,15,source_once,5.834139631129801
25,15,endpoint_once,5.834139631129801
25,20,route,5.834139631129801
25,20,source_once,5.834139631129801
25,20,endpoint_once,5.834139631129801
25,30,route,5.834139631129801
25,30,source_once,5.834139631129801
25,30,endpoint_once,5.834139631129801
26,4,route,5.7155350018292665
26,4,source_once,5.7155350018292665
26,4,endpoint_once,5.7155350018292665
26,6,route,5.7155350018292665
26,6,source_once,5.7155350018292665
26,6,endpoint_once,5.7155350018292665
26,8,route,5.7155350018292665
26,8,source_once,5.7155350018292665
26,8,endpoint_once,5.7155350018292665
26,10,route,5.7155350018292665
26,10,source_once,5.7155350018292665
26,10,endpoint_once,5.7155350018292665
26,15,route,5.7155350018292665
26,15,source_once,5.7155350018292665
26,15,endpoint_once,5.7155350018292665
26,20,route,5.7155350018292665
26,20,source_once,5.7155350018292665
26,20,endpoint_once,5.7155350018292665
26,30,route,5.7155350018292665
26,30,source_once,5.7155350018292665
26,30,endpoint_once,5.7155350018292665
27,4,route,6.176470227073878
27,4,source_once,6.176470227073878
27,4,endpoint_once,6.176470227073878
27,6,route,6.176470227073878
27,6,source_once,6.176470227073878
27,6,endpoint_once,6.176470227073878
27,8,route,6.176470227073878
27,8,source_once,6.176470227073878
27,8,endpoint_once,6.176470227073878
27,10,route,6.176470227073878
27,10,source_once,6.176470227073878
27,10,endpoint_once,6.176470227073878
27,15,route,6.176470227073878
27,15,source_once,6.176470227073878
27,15,endpoint_once,6.176470227073878
27,20,route,6.176470227073878
27,20,source_once,6.176470227073878
27,20,endpoint_once,6.176470227073878
27,30,route,6.176470227073878
27,30,source_once,6.176470227073878
27,30,endpoint_once,6.176470227073878
28,4,route,5.461533470079303
28,4,source_once,5.461533470079303
28,4,endpoint_once,5.461533470079303
28,6,route,5.461533470079303
28,6,source_once,5.461533470079303
28,6,endpoint_once,5.461533470079303
28,8,route,5.461533470079303
28,8,source_once,5.461533470079303
28,8,endpoint_once,5.461533470079303
28,10,route,5.461533470079303
28,10,source_once,5.461533470079303
28,10,endpoint_once,5.461533470079303
28,15,route,5.461533470079303
28,15,source_once,5.461533470079303
28,15,endpoint_once,5.461533470079303
28,20,route,5.461533470079303
28,20,source_once,5.461533470079303
28,20,endpoint_once,5.461533470079303
28,30,route,5.461533470079303
28,30,source_once,5.461533470079303
28,30,endpoint_once,5.461533470079303
29,4,route,5.734705666080117
29,4,source_once,5.734705666080117
29,4,endpoint_once,5.734705666080117
29,6,route,5.734705666080117
29,6,source_once,5.734705666080117
29,6,endpoint_once,5.734705666080117
29,8,route,5.734705666080117
29,8,source_once,5.734705666080117
29,8,endpoint_once,5.734705666080117
29,10,route,5.734705666080117
29,10,source_once,5.734705666080117
29,10,endpoint_once,5.734705666080117
29,15,route,5.734705666080117
29,15,source_once,5.734705666080117
29,15,endpoint_once,5.734705666080117
29,20,route,5.734705666080117
29,20,source_once,5.734705666080117
29,20,endpoint_once,5.734705666080117
29,30,route,5.734705666080117
29,30,source_once,5.734705666080117
29,30,endpoint_once,5.734705666080117
30,4,route,5.5898366421461105
30,4,source_once,5.5898366421461105
30,4,endpoint_once,5.5898366421461105
30,6,route,5.5898366421461105
30,6,source_once,5.5898366421461105
30,6,endpoint_once,5.5898366421461105
30,8,route,5.5898366421461105
30,8,source_once,5.5898366421461105
30,8,endpoint_once,5.5898366421461105
30,10,route,5.5898366421461105
30,10,source_once,5.5898366421461105
30,10,endpoint_once,5.5898366421461105
30,15,route,5.5898366421461105
30,15,source_once,5.5898366421461105
30,15,endpoint_once,5.5898366421461105
30,20,route,5.5898366421461105
30,20,source_once,5.5898366421461105
30,20,endpoint_once,5.5898366421461105
30,30,route,5.5898366421461105
30,30,source_once,5.5898366421461105
30,30,endpoint_once,5.5898366421461105
31,4,route,5.905414903536439
31,4,source_once,5.905414903536439
31,4,endpoint_once,5.905414903536439
31,6,route,5.905414903536439
31,6,source_once,5.905414903536439
31,6,endpoint_once,5.905414903536439
31,8,route,5.905414903536439
31,8,source_once,5.905414903536439
31,8,endpoint_once,5.905414903536439
31,10,route,5.905414903536439
31,10,source_once,5.905414903536439
31,10,endpoint_once,5.905414903536439
31,15,route,5.905414903536439
31,15,source_once,5.905414903536439
31,15,endpoint_once,5.905414903536439
31,20,route,5.905414903536439
31,20,source_once,5.905414903536439
31,20,endpoint_once,5.905414903536439
31,30,route,5.905414903536439
31,30,source_once,5.9046898651868105
31,30,endpoint_once,5.893937664106488
