n,instance,origin,fragments,method,baseline_cost,cost,improvement_pct
50,5,two_opt,4,random_mean,5.503448963165283,6.55503922700882,-19.107840753713816
50,5,two_opt,4,random_best,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,4,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,random_mean,5.503448963165283,9.774697814602405,-77.61040176850359
50,5,two_opt,8,random_best,5.503448963165283,8.387376787140965,-52.402190758520355
50,5,two_opt,8,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,8,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,12,original_order,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,12,exact_fixed_orientation,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,12,exact_reversible,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,12,greedy_pair,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,12,random_mean,5.503448963165283,11.33961135824211,-106.04554406043196
50,5,two_opt,12,random_best,5.503448963165283,10.436713146045804,-89.63950090023505
50,5,two_opt,12,model_route,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,5,two_opt,12,model_learned,5.503448963165283,5.503449220210314,-4.670617140529161e-06
50,6,raw,4,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,exact_fixed_orientation,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,exact_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,greedy_pair,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,random_mean,6.003438949584961,6.822682426311076,-13.64623649221505
50,6,raw,4,random_best,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,model_route,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,4,model_learned,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,exact_fixed_orientation,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,exact_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,greedy_pair,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,random_mean,6.003438949584961,9.090289206244051,-51.418033606762926
50,6,raw,8,random_best,6.003438949584961,8.231741551309824,-37.11710272124802
50,6,raw,8,model_route,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,8,model_learned,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,12,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,12,exact_fixed_orientation,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,12,exact_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,12,greedy_pair,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,raw,12,random_mean,6.003438949584961,11.109706781804562,-85.05571348522858
50,6,raw,12,random_best,6.003438949584961,10.13060974702239,-68.74677717381894
50,6,raw,12,model_route,6.003438949584961,7.44919509626925,-24.08213290457862
50,6,raw,12,model_learned,6.003438949584961,8.908927844837308,-48.39707573695263
50,6,two_opt,4,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,exact_fixed_orientation,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,exact_reversible,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,greedy_pair,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,random_mean,6.003438949584961,6.822682426311076,-13.64623649221505
50,6,two_opt,4,random_best,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,model_route,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,4,model_learned,6.003438949584961,6.003438780084252,2.823393558316026e-06
50,6,two_opt,8,original_order,6.003438949584961,6.003438780084252,2.823393558316026e-06
